timestamp,symbol,direction,entry_price,exit_price,quantity,pnl_pct,duration_sec,volatility_at_entry,trend_confidence,result,strategy,commentary,trade_reason
2025-05-17T05:37:53.424616,BTC-USD,long,92974.0188,112675.21338372001,0.0717,0.2119,396,0.015,neutral,WIN,SimScalpGPT_v6,ATR: 300 | Volatility: 0.015,neutral_trend + volatility target 0.2119
2025-05-17T05:37:53.436612,ETH-USD,long,2624.0584,3358.53234616,2.1172,0.2799,715,0.018,neutral,WIN,SimScalpGPT_v6,ATR: 25 | Volatility: 0.018,neutral_trend + volatility target 0.2799
2025-05-17T05:37:53.442483,DOGE-USD,long,0.222,0.3849924,12870.0129,0.7342,326,0.035,neutral,WIN,SimScalpGPT_v6,ATR: 0.01 | Volatility: 0.035,neutral_trend + volatility target 0.7342
2025-05-17T05:37:53.448480,AVAX-USD,long,22.0888,33.79807288,181.0872,0.5301,546,0.025,neutral,WIN,SimScalpGPT_v6,ATR: 0.5 | Volatility: 0.025,neutral_trend + volatility target 0.5301
2025-05-17T05:37:53.454478,SUI-USD,long,3.7216,5.70409632,895.6721,0.5327,383,0.03,neutral,WIN,SimScalpGPT_v6,ATR: 0.07 | Volatility: 0.03,neutral_trend + volatility target 0.5327
2025-05-17T05:37:53.459477,XLM-USD,long,0.3025,0.44733700000000004,16528.9256,0.4788,554,0.02,neutral,WIN,SimScalpGPT_v6,ATR: 0.005 | Volatility: 0.02,neutral_trend + volatility target 0.4788
2025-05-17T05:37:53.466565,HBAR-USD,long,0.2048,0.28661760000000003,22194.6023,0.3995,708,0.022,neutral,WIN,SimScalpGPT_v6,ATR: 0.004 | Volatility: 0.022,neutral_trend + volatility target 0.3995
2025-05-17T05:37:53.472565,ADA-USD,long,0.6919,0.8888839299999999,7226.4778,0.2847,312,0.02,neutral,WIN,SimScalpGPT_v6,ATR: 0.01 | Volatility: 0.02,neutral_trend + volatility target 0.2847
2025-05-17T05:37:53.478072,DOT-USD,long,4.3027,6.39983598,929.6488,0.4874,386,0.025,neutral,WIN,SimScalpGPT_v6,ATR: 0.03 | Volatility: 0.025,neutral_trend + volatility target 0.4874
2025-05-17T05:37:53.484076,LINK-USD,long,16.7322,21.75520644,298.825,0.3002,595,0.02,"('neutral', datetime.datetime(2025, 5, 17, 5, 37, 53, 484076))",WIN,SimScalpGPT_v6,ATR: 0.2 | Volatility: 0.02,"('neutral', datetime.datetime(2025, 5, 17, 5, 37, 53, 484076))_trend + volatility target 0.3002"
2025-05-17T05:37:53.490074,SOL-USD,long,167.9926,228.60433008,22.0468,0.3608,352,0.027,neutral,WIN,SimScalpGPT_v6,ATR: 1.5 | Volatility: 0.027,neutral_trend + volatility target 0.3608
2025-05-17T05:38:23.495018,BTC-USD,long,98515.1052,125222.55021972003,0.0677,0.2711,757,0.015,neutral,WIN,SimScalpGPT_v6,ATR: 300 | Volatility: 0.015,neutral_trend + volatility target 0.2711
2025-05-17T05:38:23.506023,ETH-USD,long,2509.8911,3367.77187798,2.2135,0.3418,574,0.018,neutral,WIN,SimScalpGPT_v6,ATR: 25 | Volatility: 0.018,neutral_trend + volatility target 0.3418
2025-05-17T05:38:23.512023,DOGE-USD,long,0.2403,0.39418812000000003,11889.8995,0.6404,577,0.035,neutral,WIN,SimScalpGPT_v6,ATR: 0.01 | Volatility: 0.035,neutral_trend + volatility target 0.6404
2025-05-17T05:38:23.519187,AVAX-USD,long,24.61,37.173404999999995,162.5356,0.5105,618,0.025,neutral,WIN,SimScalpGPT_v6,ATR: 0.5 | Volatility: 0.025,neutral_trend + volatility target 0.5105
2025-05-17T05:38:23.524187,SUI-USD,long,4.0686,6.15945354,819.2826,0.5139,367,0.03,neutral,WIN,SimScalpGPT_v6,ATR: 0.07 | Volatility: 0.03,neutral_trend + volatility target 0.5139
2025-05-17T05:38:23.530692,XLM-USD,long,0.2911,0.42317207,17176.2281,0.4537,760,0.02,neutral,WIN,SimScalpGPT_v6,ATR: 0.005 | Volatility: 0.02,neutral_trend + volatility target 0.4537
2025-05-17T05:38:23.538066,HBAR-USD,long,0.1934,0.27990782,23502.8673,0.4473,731,0.022,neutral,WIN,SimScalpGPT_v6,ATR: 0.004 | Volatility: 0.022,neutral_trend + volatility target 0.4473
2025-05-17T05:38:23.543457,ADA-USD,long,0.6927,0.88471644,7218.1319,0.2772,843,0.02,neutral,WIN,SimScalpGPT_v6,ATR: 0.01 | Volatility: 0.02,neutral_trend + volatility target 0.2772
2025-05-17T05:38:23.550459,DOT-USD,long,4.3974,6.325220160000001,909.6284,0.4384,403,0.025,"('neutral', datetime.datetime(2025, 5, 17, 5, 38, 23, 550459))",WIN,SimScalpGPT_v6,ATR: 0.03 | Volatility: 0.025,"('neutral', datetime.datetime(2025, 5, 17, 5, 38, 23, 550459))_trend + volatility target 0.4384"
2025-05-17T05:38:23.556021,LINK-USD,long,16.6819,21.978403249999996,299.7261,0.3175,722,0.02,"('neutral', datetime.datetime(2025, 5, 17, 5, 37, 53, 484076))",WIN,SimScalpGPT_v6,ATR: 0.2 | Volatility: 0.02,"('neutral', datetime.datetime(2025, 5, 17, 5, 37, 53, 484076))_trend + volatility target 0.3175"
2025-05-17T05:38:23.562020,SOL-USD,long,162.7992,217.40205168,22.7501,0.3354,250,0.027,neutral,WIN,SimScalpGPT_v6,ATR: 1.5 | Volatility: 0.027,neutral_trend + volatility target 0.3354
2025-05-17T05:38:53.567588,BTC-USD,long,102469.0091,131918.60231534,0.0651,0.2874,535,0.015,neutral,WIN,SimScalpGPT_v6,ATR: 300 | Volatility: 0.015,neutral_trend + volatility target 0.2874
2025-05-17T05:38:53.577094,ETH-USD,long,2359.3304,3167.16512896,2.3547,0.3424,656,0.018,neutral,WIN,SimScalpGPT_v6,ATR: 25 | Volatility: 0.018,neutral_trend + volatility target 0.3424
2025-05-17T05:38:53.585095,DOGE-USD,long,0.2331,0.38916045,12257.1551,0.6695,348,0.035,neutral,WIN,SimScalpGPT_v6,ATR: 0.01 | Volatility: 0.035,neutral_trend + volatility target 0.6695
2025-05-17T05:38:53.594094,AVAX-USD,long,22.0478,35.0339542,181.424,0.589,543,0.025,neutral,WIN,SimScalpGPT_v6,ATR: 0.5 | Volatility: 0.025,neutral_trend + volatility target 0.589
2025-05-17T05:38:53.604097,SUI-USD,long,3.4472,5.46656976,966.9684,0.5858,431,0.03,neutral,WIN,SimScalpGPT_v6,ATR: 0.07 | Volatility: 0.03,neutral_trend + volatility target 0.5858
2025-05-17T05:38:53.610097,XLM-USD,long,0.2858,0.4178396,17494.7516,0.462,666,0.02,neutral,WIN,SimScalpGPT_v6,ATR: 0.005 | Volatility: 0.02,neutral_trend + volatility target 0.462
2025-05-17T05:38:53.617765,HBAR-USD,long,0.202,0.2885368,22502.2502,0.4284,838,0.022,neutral,WIN,SimScalpGPT_v6,ATR: 0.004 | Volatility: 0.022,neutral_trend + volatility target 0.4284
2025-05-17T05:38:53.624764,ADA-USD,long,0.7423,0.9748625899999999,6735.8211,0.3133,252,0.02,"('neutral', datetime.datetime(2025, 5, 17, 5, 38, 53, 623762))",WIN,SimScalpGPT_v6,ATR: 0.01 | Volatility: 0.02,"('neutral', datetime.datetime(2025, 5, 17, 5, 38, 53, 623762))_trend + volatility target 0.3133"
2025-05-17T05:38:53.631006,DOT-USD,long,4.2794,6.3142547,934.7105,0.4755,510,0.025,"('neutral', datetime.datetime(2025, 5, 17, 5, 38, 23, 550459))",WIN,SimScalpGPT_v6,ATR: 0.03 | Volatility: 0.025,"('neutral', datetime.datetime(2025, 5, 17, 5, 38, 23, 550459))_trend + volatility target 0.4755"
2025-05-17T05:38:53.639005,LINK-USD,long,14.7375,20.60155125,339.2706,0.3979,586,0.02,"('neutral', datetime.datetime(2025, 5, 17, 5, 37, 53, 484076))",WIN,SimScalpGPT_v6,ATR: 0.2 | Volatility: 0.02,"('neutral', datetime.datetime(2025, 5, 17, 5, 37, 53, 484076))_trend + volatility target 0.3979"
2025-05-17T05:38:53.645209,SOL-USD,long,173.9881,242.92218522,21.2871,0.3962,832,0.027,neutral,WIN,SimScalpGPT_v6,ATR: 1.5 | Volatility: 0.027,neutral_trend + volatility target 0.3962
2025-05-17T05:39:23.651917,BTC-USD,long,105433.9478,129662.66900443999,0.0632,0.2298,516,0.015,neutral,WIN,SimScalpGPT_v6,ATR: 300 | Volatility: 0.015,neutral_trend + volatility target 0.2298
2025-05-17T05:39:23.660424,ETH-USD,long,2442.6322,3088.46415368,2.2744,0.2644,281,0.018,neutral,WIN,SimScalpGPT_v6,ATR: 25 | Volatility: 0.018,neutral_trend + volatility target 0.2644
2025-05-17T05:39:23.667570,DOGE-USD,long,0.2072,0.36521072,13789.2995,0.7626,532,0.035,neutral,WIN,SimScalpGPT_v6,ATR: 0.01 | Volatility: 0.035,neutral_trend + volatility target 0.7626
2025-05-17T05:39:23.673570,AVAX-USD,long,22.9174,36.211783739999994,174.5399,0.5801,315,0.025,neutral,WIN,SimScalpGPT_v6,ATR: 0.5 | Volatility: 0.025,neutral_trend + volatility target 0.5801
2025-05-17T05:39:23.679570,SUI-USD,long,3.4425,5.191978499999999,968.2885,0.5082,505,0.03,neutral,WIN,SimScalpGPT_v6,ATR: 0.07 | Volatility: 0.03,neutral_trend + volatility target 0.5082
2025-05-17T05:39:23.686561,XLM-USD,long,0.2718,0.39353921999999997,18395.8793,0.4479,522,0.02,neutral,WIN,SimScalpGPT_v6,ATR: 0.005 | Volatility: 0.02,neutral_trend + volatility target 0.4479
2025-05-17T05:39:23.693364,HBAR-USD,long,0.1891,0.27387353,24037.3059,0.4483,702,0.022,"('neutral', datetime.datetime(2025, 5, 17, 5, 39, 23, 693364))",WIN,SimScalpGPT_v6,ATR: 0.004 | Volatility: 0.022,"('neutral', datetime.datetime(2025, 5, 17, 5, 39, 23, 693364))_trend + volatility target 0.4483"
2025-05-17T05:39:23.699568,ADA-USD,long,0.7522,0.95928066,6647.1683,0.2753,786,0.02,"('neutral', datetime.datetime(2025, 5, 17, 5, 38, 53, 623762))",WIN,SimScalpGPT_v6,ATR: 0.01 | Volatility: 0.02,"('neutral', datetime.datetime(2025, 5, 17, 5, 38, 53, 623762))_trend + volatility target 0.2753"
2025-05-17T05:39:23.705568,DOT-USD,long,4.8605,6.8678865,822.9606,0.413,623,0.025,"('neutral', datetime.datetime(2025, 5, 17, 5, 38, 23, 550459))",WIN,SimScalpGPT_v6,ATR: 0.03 | Volatility: 0.025,"('neutral', datetime.datetime(2025, 5, 17, 5, 38, 23, 550459))_trend + volatility target 0.413"
2025-05-17T05:39:23.712568,LINK-USD,long,16.7046,22.18872018,299.3188,0.3283,611,0.02,"('neutral', datetime.datetime(2025, 5, 17, 5, 37, 53, 484076))",WIN,SimScalpGPT_v6,ATR: 0.2 | Volatility: 0.02,"('neutral', datetime.datetime(2025, 5, 17, 5, 37, 53, 484076))_trend + volatility target 0.3283"
2025-05-17T05:39:23.719571,SOL-USD,long,151.3599,208.78584606,24.4695,0.3794,621,0.027,neutral,WIN,SimScalpGPT_v6,ATR: 1.5 | Volatility: 0.027,neutral_trend + volatility target 0.3794
2025-05-17T05:39:53.724745,BTC-USD,long,99511.922,123613.7095084,0.067,0.2422,723,0.015,neutral,WIN,SimScalpGPT_v6,ATR: 300 | Volatility: 0.015,neutral_trend + volatility target 0.2422
2025-05-17T05:39:53.735466,ETH-USD,long,2575.1193,3370.05862791,2.1574,0.3087,722,0.018,neutral,WIN,SimScalpGPT_v6,ATR: 25 | Volatility: 0.018,neutral_trend + volatility target 0.3087
